tweet,created_at,tokens
nu bekas protes bijak ijazah dedi mulyadi,Thu May 22 03:01:21 +0000 2025,"['nu', 'bekas', 'protes', 'bijak', 'ijazah', 'dedi', 'mulyadi']"
kang dedi mulyadi gantenngg bangeet pacar guyss jung junwon for marie claire,Mon May 19 04:15:32 +0000 2025,"['kang', 'dedi', 'mulyadi', 'gantenngg', 'bangeet', 'pacar', 'guyss', 'jung', 'junwon', 'for', 'marie', 'claire']"
kang dedi mulyadi weak hero class perhatiin detail scene pas sieun lari hospital with geng eunjang lari latar pohon ubah pohon tandus pohon daun udah lebat pohon udah bunga cryinggg,Fri May 16 13:53:25 +0000 2025,"['kang', 'dedi', 'mulyadi', 'weak', 'hero', 'class', 'perhatiin', 'detail', 'scene', 'pas', 'sieun', 'lari', 'hospital', 'with', 'geng', 'eunjang', 'lari', 'latar', 'pohon', 'ubah', 'pohon', 'tandus', 'pohon', 'daun', 'udah', 'lebat', 'pohon', 'udah', 'bunga', 'cryinggg']"
kang dedi mulyadi tastefully yours foto beomwoo salkir kemarin guys,Thu May 15 10:33:48 +0000 2025,"['kang', 'dedi', 'mulyadi', 'tastefully', 'yours', 'foto', 'beomwoo', 'salkir', 'kemarin', 'guys']"
halo kang dedi,Fri May 16 14:19:26 +0000 2025,"['halo', 'kang', 'dedi']"
kang dedi mulyadi foto han yeji kim sabi resident playbook pas sekolah doi lahir emang uda cantik cr on photo,Wed May 14 11:08:08 +0000 2025,"['kang', 'dedi', 'mulyadi', 'foto', 'han', 'yeji', 'kim', 'sabi', 'resident', 'playbook', 'pas', 'sekolah', 'doi', 'lahir', 'emang', 'uda', 'cantik', 'cr', 'on', 'photo']"
kang dedi mulyadi go younjung bilang syuting can this love be translated syuting resplay selesai syuting negeri amp keliling negara jadwal padat cepat kim seonho syuting seru tunjukin sisi drama,Mon May 19 01:43:41 +0000 2025,"['kang', 'dedi', 'mulyadi', 'go', 'younjung', 'bilang', 'syuting', 'can', 'this', 'love', 'be', 'translated', 'syuting', 'resplay', 'selesai', 'syuting', 'negeri', 'amp', 'keliling', 'negara', 'jadwal', 'padat', 'cepat', 'kim', 'seonho', 'syuting', 'seru', 'tunjukin', 'sisi', 'drama']"
popularitas dedi mulyadi publik muncul mantan presiden joko widodo kancah politik nasional dedi mulyadi dedi mulyadi mah netizen bikin hahaha masak koreksi netizen,Tue May 20 12:29:13 +0000 2025,"['popularitas', 'dedi', 'mulyadi', 'publik', 'muncul', 'mantan', 'presiden', 'joko', 'widodo', 'kancah', 'politik', 'nasional', 'dedi', 'mulyadi', 'dedi', 'mulyadi', 'mah', 'netizen', 'bikin', 'hahaha', 'masak', 'koreksi', 'netizen']"
resident playbook kang dedi mulyadi apresiasi uri princess pyo namkyung aka jongno yulje it girl best girl banget usaha karakter turun rasa shin siah bawa karakter namkyung manusiawi,Mon May 19 12:48:23 +0000 2025,"['resident', 'playbook', 'kang', 'dedi', 'mulyadi', 'apresiasi', 'uri', 'princess', 'pyo', 'namkyung', 'aka', 'jongno', 'yulje', 'it', 'girl', 'best', 'girl', 'banget', 'usaha', 'karakter', 'turun', 'rasa', 'shin', 'siah', 'bawa', 'karakter', 'namkyung', 'manusiawi']"
detik detik jual pangsit mennggal peluk kang dedi mulyadi udah ketemu orang tolong keluarga,Wed May 21 15:17:13 +0000 2025,"['detik', 'detik', 'jual', 'pangsit', 'mennggal', 'peluk', 'kang', 'dedi', 'mulyadi', 'udah', 'ketemu', 'orang', 'tolong', 'keluarga']"
